Sample name	F1	F2	F3	F4	F5	F6
VL96-15555	2	8	9	9	4	4
VL98-1253	193	451	451	59	93	138
VK99-2133	183	68	309	309	16	138
VK99-4204	94	111	296	296	10	5
VK00-0119	21	116	137	13	148	148
VK00-1524	31	25	117	7	479	479
VK01-2965	45	86	124	138	349	349
VK02-4452	192	243	229	11	479	479
VK03-3214	930	335	1069	1069	33	49
VK03-4298	1086	185	1686	79	13862	13862
VK04-3106	969	87	1428	481	1572	1572
VK04-4187	1349	1349	95	376	502	1126
20097-C1	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
25304	1149	1149	138	274	138	271
28541	67	8	40	12	143	143
31181	90	90	41	41	11	13
33460	149	125	268	268	142	47
VK07-0259	126	126	27	13	n.a.	n.a.
VK08-1001	132	132	111	71	3	49
18601	269	155	453	453	17	37
20979	2524	1497	5869	5869	284	116
23030	83	695	695	496	25	63
25268	66	80	80	75	n.a.	n.a.
27548	324	374	423	42	445	445
04HR-1501	21	106	560	560	n.a.	n.a.
05HR-0269	43	125	138	138	12	138
06HR-0145	479	841	841	598	113	123
07HR-0248	479	479	978	978	n.a.	n.a.
08HR-0235	185	1489	1489	1400	287	133
20883	222	229	697	29	926	926
24060	241	427	1280	1280	177	103
27993	406	448	877	877	145	77
31023	306	190	495	495	59	62
33873	64	153	253	253	15	18
VK07-4778	85	172	385	8	479	479
VK08-2987	91	110	2046	2046	5	1386
VK09-1685	193	540	2045	2045	86	83
26585	n.a.	4	14	14	14	4
27717	64	64	47	15	n.a.	n.a.
30562	78	78	69	13	10	8
33089	190	462	462	317	53	412
VK06-6001	44	90	52	21	142	142
VK07-8262	110	133	440	440	46	121
VK08-8014	188	95	717	717	115	241
VK02-4864	138	138	138	371	371	273
VK03-0342	22	940	1420	1420	79	479
VK05-2685	13	13	13	13	n.a.	n.a.
VK06-1885	13	83	83	13	13	13
VK07-4218	17	43	43	13	n.a.	n.a.
VK08-6634	135	255	504	504	13	138
VK09-7738	806	1270	1270	785	76	49
3460	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3710	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4698	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5651	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
8452	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
9222	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
10264	n.a.	n.a.	31	31	n.a.	n.a.
10756	12	44	44	26	21	7
12879	143	452	452	158	57	9
14908	48	103	109	32	113	113
18140	781	781	575	510	404	103
21484	420	420	229	261	26	142
24890	321	321	247	217	36	27
28929	775	1069	1069	699	49	54
31440	6	55	463	463	n.a.	n.a.
34493	303	357	428	428	34	13
14799	144	253	294	294	47	47
15611	1101	168	1153	1153	33	479
18113	273	1021	1021	435	476	318
21006	581	1234	1234	465	10	61
23919	918	918	400	843	29	169
26477	1359	66	4795	4795	18	63
29184	1699	1699	73	318	36	33
11686	47	47	155	189	189	47
12402	70	70	47	47	47	42
16311	11	8	26	26	4	9
18798	8	29	35	35	n.a.	n.a.
23058	144	181	181	128	62	47
25775	219	219	95	97	12	5
28338	752	365	3349	3349	n.a.	n.a.
30847	930	592	620	34	1010	1010
3174	893	543	4795	4795	2614	3597
3199	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3265	92	92	47	47	n.a.	n.a.
3333	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3469	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3722	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4158	4	13	20	20	n.a.	n.a.
4955	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5862	47	3	78	78	n.a.	n.a.
6154	138	138	62	n.a.	n.a.	n.a.
7848	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
9985	685	1339	1339	644	68	58
10110	6	12	16	16	n.a.	n.a.
21665	425	3295	3295	610	161	1394
22499	755	862	993	993	99	138
24062	12	40	40	37	8	27
27134	545	370	1667	1667	59	479
29698	369	1707	1707	1447	83	1126
32311	1875	2896	3608	3608	n.a.	n.a.
34347	2275	6968	6968	3379	430	1645
